,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
337496,2,2,1.64,Franklinville,New Jersey,8322,1785,2012-08-31,60000
337497,4,2,1.27,Franklinville,New Jersey,8322,2660,2008-02-04,309900
337504,4,3,0.06,Clayton,New Jersey,8312,2648,2022-01-13,299000
337517,4,2,0.19,Glassboro,New Jersey,8028,1574,2006-01-27,261900
337519,3,1,0.27,Sewell,New Jersey,8080,1754,2014-10-14,289999
337527,2,1,1.38,Williamstown,New Jersey,8094,1568,2008-01-08,150000
337528,3,3,0.05,Williamstown,New Jersey,8094,1438,1987-04-24,189000
337529,3,2,0.23,Pitman,New Jersey,8071,2200,2018-04-17,385000
337531,4,4,0.21,Sicklerville,New Jersey,8081,2798,2017-07-03,445900
337535,4,5,2.1,Mickleton,New Jersey,8056,6209,2007-03-06,779900
337537,5,3,0.38,Williamstown,New Jersey,8094,4045,2014-06-23,594900
337539,3,2,0.14,Sewell,New Jersey,8080,1216,2020-12-14,280000
337540,5,2,0.23,Williamstown,New Jersey,8094,2251,2019-01-16,275000
337545,3,1,0.15,Paulsboro,New Jersey,8066,1304,1991-08-19,182000
337547,3,2,0.33,Glassboro,New Jersey,8028,1392,1994-06-27,200000
337551,2,1,0.05,Essington,Pennsylvania,19029,950,2021-10-13,95000
337554,3,1,0.94,Franklinville,New Jersey,8322,1322,2021-10-08,125000
337556,3,1,0.35,Wenonah,New Jersey,8090,1617,1999-05-25,219900
337563,4,2,0.22,Williamstown,New Jersey,8094,1566,1996-11-26,265000
337568,3,2,0.09,Sicklerville,New Jersey,8081,1276,1990-05-11,155000
337570,5,2,0.35,Glassboro,New Jersey,8028,1940,2009-03-13,199900
337572,4,3,0.74,Mullica Hill,New Jersey,8062,2422,2003-10-02,479900
337573,3,1,0.22,Blackwood,New Jersey,8012,1122,1986-10-23,188000
337578,3,2,0.51,Clayton,New Jersey,8312,1396,2002-10-21,175000
337580,3,2,1.13,Williamstown,New Jersey,8094,1300,2019-12-02,219890
337586,3,3,0.24,Glassboro,New Jersey,8028,2912,2014-08-06,414900
337587,2,1,0.52,Mullica Hill,New Jersey,8062,768,1990-08-14,315000
337589,4,2,0.77,Sewell,New Jersey,8080,2028,2021-06-24,320000
337596,4,3,0.45,Mullica Hill,New Jersey,8062,2236,2004-10-11,500000
337603,3,3,0.09,Sicklerville,New Jersey,8081,1825,2015-11-18,300000
337617,3,3,0.09,Mullica Hill,New Jersey,8062,1336,2015-07-01,225000
337624,2,2,0.11,Williamstown,New Jersey,8094,1365,2015-04-09,220000
337628,2,1,0.17,Clayton,New Jersey,8312,884,2017-11-20,145000
337629,4,4,1.18,Mullica Hill,New Jersey,8062,5171,2002-11-15,639900
337630,4,3,0.24,Blackwood,New Jersey,8012,2798,1990-05-09,350000
337631,3,3,0.04,Williamstown,New Jersey,8094,1600,2021-04-19,290000
337632,4,2,0.42,Williamstown,New Jersey,8094,2388,2020-02-20,425000
337637,3,2,1.0,Pilesgrove,New Jersey,8098,1800,1995-10-23,449000
337643,3,3,1.0,Elmer,New Jersey,8318,2153,2012-12-17,549000
337649,3,2,0.95,Franklinville,New Jersey,8322,1398,1990-08-28,172000
337652,4,3,0.94,Franklinville,New Jersey,8322,3150,2008-11-07,490000
337660,3,2,0.5,Williamstown,New Jersey,8094,1788,2012-06-11,359900
337663,4,2,0.23,Williamstown,New Jersey,8094,2068,2016-12-09,329900
337668,4,3,0.8,Mickleton,New Jersey,8056,2226,1999-05-24,445000
337687,3,2,0.9,Franklinville,New Jersey,8322,1880,1989-07-07,275000
337689,3,3,0.06,Sicklerville,New Jersey,8081,1625,1994-10-12,210000
337691,4,3,3.26,Williamstown,New Jersey,8094,2653,2016-06-01,449900
337692,3,2,1.97,Franklinville,New Jersey,8322,1675,2017-06-07,299900
337694,4,3,0.27,Sicklerville,New Jersey,8081,2486,1991-08-22,424900
337702,4,2,0.27,Turnersville,New Jersey,8012,2068,2021-11-12,349000
337720,4,3,0.43,Sicklerville,New Jersey,8081,2617,2019-07-23,348500
337724,3,2,0.17,Paulsboro,New Jersey,8066,2000,2021-03-18,250000
337728,4,4,1.45,Mullica Hill,New Jersey,8062,5640,2006-05-17,1195000
337736,3,3,0.76,Franklinville,New Jersey,8322,2713,2007-04-04,400000
337756,2,2,0.17,Williamstown,New Jersey,8094,1318,2019-08-29,289900
337770,4,4,1.18,Franklinville,New Jersey,8322,3792,2012-04-04,595000
337772,4,2,0.31,Franklinville,New Jersey,8322,1760,2021-10-28,249888
337774,4,3,0.16,Blackwood,New Jersey,8012,2238,2021-03-26,395000
337778,3,2,2.63,Williamstown,New Jersey,8094,1859,2020-03-25,299900
337779,4,4,0.46,Williamstown,New Jersey,8094,2728,2007-08-14,480000
337784,5,4,0.14,Sewell,New Jersey,8080,2112,2015-02-17,439900
337785,4,3,0.29,Turnersville,New Jersey,8012,2048,1973-10-10,315000
337790,3,2,4.06,Williamstown,New Jersey,8094,1853,2016-01-07,340000
337795,4,4,0.32,Williamstown,New Jersey,8094,2633,2002-01-22,425000
337798,4,2,0.5,Sicklerville,New Jersey,8081,2412,2015-04-21,399900
337799,4,3,0.24,Williamstown,New Jersey,8094,2180,2020-04-06,394900
337801,1,1,0.02,Pitman,New Jersey,8071,768,1980-10-01,120000
337803,3,1,0.23,Sicklerville,New Jersey,8081,1332,1989-09-11,127000
337804,4,3,0.15,Williamstown,New Jersey,8094,2192,1989-01-31,395000
337812,2,2,0.11,Williamstown,New Jersey,8094,1260,2002-12-17,225000
337816,4,2,0.46,Williamstown,New Jersey,8094,1998,2020-02-10,315000
337845,3,3,0.1,Sicklerville,New Jersey,8081,1654,2008-01-07,249900
337850,2,2,0.18,Williamstown,New Jersey,8094,1318,2014-10-02,269900
337851,2,2,0.12,Williamstown,New Jersey,8094,1318,1999-04-29,229900
337862,4,3,0.22,Sicklerville,New Jersey,8081,2848,2005-07-29,410000
337864,2,2,0.1,Sicklerville,New Jersey,8081,1012,2019-08-02,115000
337876,2,3,0.06,Williamstown,New Jersey,8094,1238,2005-10-25,199900
337877,4,4,0.45,Williamstown,New Jersey,8094,2844,1997-03-11,498000
337880,3,1,0.07,Paulsboro,New Jersey,8066,1064,2022-01-13,139999
337885,3,3,0.07,Williamstown,New Jersey,8094,1382,2005-07-12,200000
