,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
314172,3,2,0.26,Piscataway,New Jersey,8854,1020,1987-09-23,379900
314173,1,1,0.01,Piscataway,New Jersey,8854,778,2014-04-11,270000
314177,3,1,0.01,Piscataway,New Jersey,8854,841,2000-06-27,152168
314178,4,2,0.14,Bound Brook,New Jersey,8805,1131,2020-07-27,379000
314180,3,2,0.17,Manville,New Jersey,8835,1334,1998-11-09,329900
314181,5,4,1.0,Warren Twp,New Jersey,7059,3764,2017-09-22,1250000
314187,3,2,0.92,Bridgewater Twp,New Jersey,8807,3028,1995-11-28,609900
314190,4,3,0.16,Franklin,New Jersey,8873,2784,2012-10-03,700000
314201,5,3,0.14,Bound Brook,New Jersey,8805,1780,2021-03-26,419900
314206,5,3,0.28,Bridgewater Twp,New Jersey,8807,2050,1996-11-08,599900
314215,3,2,0.24,Somerville,New Jersey,8876,1400,2017-06-27,299000
314216,3,2,0.27,Middlesex,New Jersey,8846,1020,,280000
314219,3,3,0.1,Franklin Twp,New Jersey,8873,2136,2010-10-22,450000
314223,5,2,0.11,Bound Brook,New Jersey,8805,1853,2017-04-06,399900
314224,5,5,1.13,Bridgewater Twp,New Jersey,8807,4600,2015-05-01,999900
314225,2,3,0.17,Franklin,New Jersey,8873,2279,2004-12-28,550000
314235,3,2,0.84,Bridgewater Twp,New Jersey,8807,1482,2008-10-16,499900
314238,4,1,0.14,Bound Brook,New Jersey,8805,1168,2019-07-22,395000
314254,3,2,0.32,Green Brook,New Jersey,8812,1812,1999-07-16,519000
314255,4,3,0.32,Piscataway,New Jersey,8854,2058,2009-07-21,525000
314264,3,2,0.14,Somerville,New Jersey,8876,1134,2002-03-21,275000
314269,3,4,0.28,Hillsborough Twp,New Jersey,8844,2935,,713900
314270,3,4,0.25,Hillsborough Twp,New Jersey,8844,2975,,719900
314271,3,4,0.21,Hillsborough Twp,New Jersey,8844,2572,,688900
314272,5,4,39.86,Hillsborough Twp,New Jersey,8844,3933,1988-01-29,1695000
314273,3,3,0.19,Hillsborough Twp,New Jersey,8844,2375,,673900
314284,4,3,0.46,Bridgewater,New Jersey,8807,2184,2000-04-17,609900
314297,3,2,0.04,Bridgewater Twp,New Jersey,8807,1792,2008-11-26,430000
314300,4,2,0.95,Branchburg Township,New Jersey,8876,1867,,440000
314309,5,4,1.3,Bernards Twp,New Jersey,7920,4466,2014-04-29,1330000
314329,6,6,1.26,Bridgewater Twp,New Jersey,8836,6100,2012-06-20,1489000
314337,4,3,0.14,Bridgewater Twp,New Jersey,8807,2200,2006-01-06,630000
