,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
292383,10,4,0.06,Newark,New Jersey,7104,29997,,520000
292393,6,4,0.08,Newark,New Jersey,7104,3600,,550000
292401,8,3,0.13,Belleville,New Jersey,7109,2400,,525000
292476,9,5,0.07,Brooklyn,New York,11218,3630,,2495000
292487,3,1,0.11,Staten Island,New York,10305,984,,525000
292498,4,3,0.17,Metuchen,New Jersey,8840,1997,,600000
292499,2,2,0.01,Old Bridge,New Jersey,7747,1136,,258000
292517,4,4,0.15,Staten Island,New York,10306,2400,,1275000
292530,4,5,0.46,Staten Island,New York,10306,6366,,1750000
292535,4,5,0.11,Staten Island,New York,10308,3894,,1250000
292557,3,4,0.05,Ho Ho Kus,New Jersey,7423,2173,,1100000
292599,3,2,0.06,Staten Island,New York,10314,1760,,738899
292631,7,6,0.07,Brooklyn,New York,11214,3280,,1950000
292641,4,4,0.17,Highland Park,New Jersey,8904,2020,,650000
292647,5,3,0.15,New Brunswick,New Jersey,8901,1860,,845000
292679,6,4,0.09,Staten Island,New York,10304,2525,,899999
292712,4,2,0.17,Old Bridge,New Jersey,8879,1708,,370000
292763,3,1,0.09,Staten Island,New York,10306,2080,,829900
292769,3,3,0.33,Staten Island,New York,10309,2170,,849000
292888,4,3,0.09,Staten Island,New York,10308,1720,,825000
292891,6,3,0.1,Staten Island,New York,10305,2796,,1250000
292894,1,1,0.41,New York City,New York,11211,736,,1170000
293060,3,2,0.06,Staten Island,New York,10306,1225,,579000
293078,4,4,0.19,Staten Island,New York,10309,2900,,1249000
293125,2,2,0.29,New York City,New York,10010,1200,,949000
293126,5,5,0.46,Staten Island,New York,10312,7280,,2599999
293202,3,1,0.09,South Amboy,New Jersey,8879,1000,,264900
293203,2,2,0.03,Staten Island,New York,10314,1284,,479000
293229,1,1,0.02,Staten Island,New York,10301,900,,250000
293230,4,4,0.24,Staten Island,New York,10307,4620,,1299000
293301,3,3,0.1,New York City,New York,10002,2518,,5850000
293312,2,1,0.09,Fords,New Jersey,8863,840,,320000
293338,5,3,0.17,Highland Park,New Jersey,8904,1728,,425000
293340,5,2,0.26,Woodbridge Proper,New Jersey,7095,1274,,519900
293426,2,2,0.11,Staten Island,New York,10305,768,,730000
293570,3,2,0.18,Florham Park,New Jersey,7932,1988,,549000
293576,3,2,0.13,Staten Island,New York,10314,2025,,849000
293607,3,2,0.17,Piscataway,New Jersey,8854,1389,,344900
293611,4,4,0.05,Staten Island,New York,10312,2248,,710000
293689,3,2,0.06,Staten Island,New York,10305,1360,,599999
293692,4,2,0.11,Staten Island,New York,10309,1890,,849900
293740,5,3,0.03,Jersey City,New Jersey,7306,731,,949900
293743,6,3,0.06,Newark,New Jersey,7107,29997,,570000
293755,2,2,0.34,Bloomingdale,New Jersey,7403,1260,,220000
293756,3,2,0.56,Bloomingdale,New Jersey,7403,2847,,749900
293757,3,1,2.37,Bloomingdale,New Jersey,7403,1536,,355000
293785,6,3,0.05,Jersey City,New Jersey,7302,3500,,1375000
293793,7,4,0.05,Jersey City,New Jersey,7305,3496,,975000
293835,5,2,0.11,Elizabeth City,New Jersey,7202,19998,,419000
293836,4,2,0.06,Elizabeth City,New Jersey,7202,19998,,279000
293856,1,1,0.19,New York City,New York,10029,652,,948700
293896,11,15,0.06,Brooklyn,New York,11230,7290,,1589000
293914,3,4,0.08,Staten Island,New York,10305,2498,,1328888
293920,2,2,0.04,Brooklyn,New York,11234,868,,549000
293927,6,3,0.04,Brooklyn,New York,11214,2520,,1488000
293929,3,4,0.06,Staten Island,New York,10305,1538,,779000
293930,3,3,0.06,Staten Island,New York,10305,1440,,759000
293939,3,2,0.05,Brooklyn,New York,11234,1647,,729000
293974,9,3,0.04,Brooklyn,New York,11214,3420,,1488000
294005,4,1,0.06,Brooklyn,New York,11210,1750,,839000
294010,3,3,0.05,Brooklyn,New York,11210,1696,,799000
294041,5,3,0.07,Brooklyn,New York,11224,2234,,895000
294048,3,2,0.07,Staten Island,New York,10314,1248,,619500
294053,6,2,0.04,Corona,New York,11368,2000,,1180000
294055,3,2,0.04,New York City,New York,11215,1495,,2195000
294060,4,3,0.11,Staten Island,New York,10314,1369,,699000
294102,12,7,0.21,New York City,New York,11224,5100,,2498000
294103,4,3,0.06,New York City,New York,11223,1345,,1025000
